OBJECTID,HUC_12,pCanopy
652,010300032301,66.274960878297620
653,010300032302,72.438504033469712
654,010300032303,63.242421405238957
655,010300032304,55.704794773819792
656,010300032305,64.357020925638224
657,010300032306,68.828506900878295
658,010300032307,59.358032848782329
659,010300032308,68.462154928262422
660,010300032309,62.464706745033446
661,010300032401,62.680426236292156
662,010300032402,69.249077783058368
663,010300032403,66.675038471037482
664,010300032404,56.493035206313280
665,010300032405,54.525038829395896
666,010300032406,70.716891541255833
667,010300032407,65.783454911823057
668,010300032408,67.449777239191647
669,010300032409,58.823129216718776
670,010400010101,77.540355761275464
671,010400010102,76.169261485234486
672,010400010103,75.720201952988532
673,010400010104,76.816408676857918
674,010400010105,79.993032815439278
675,010400010106,74.824300015642109
676,010400010107,72.030863636681318
677,010400010108,73.449889305177109
678,010400010109,76.056699171410855
679,010400010110,76.608085899617308
680,010400010201,73.475455559687617
681,010400010202,75.924447287804043
682,010400010203,75.531809230914064
683,010400010301,70.515538439684974
684,010400010302,76.890241492431130
685,010400010303,72.372289465257765
686,010400010304,68.560689682424695
687,010400010305,72.081865757210480
688,010400010306,73.421787101431008
689,010400010401,74.759385644544466
690,010400010402,72.471723786036222
691,010400010403,67.951063646753752
692,010400010404,73.858603395061735
693,010400010405,75.826105051415894
694,010400010406,72.097391033731569
695,010400010501,62.642042921734699
696,010400010502,71.365645837552407
697,010400010601,70.052016756736236
698,010400010602,74.302671615701684
699,010400010603,67.547046698414960
700,010400010604,70.293084699935349
701,010400010605,70.191963699773126
702,010400010606,65.881192095996724
703,010400010607,65.781124543028241
704,010400020101,77.390460541330043
705,010400020102,79.809420305146986
706,010400020103,77.727274639296681
707,010400020201,84.043487540951062
708,010400020202,76.009435138617562
709,010400020203,71.952306555473456
710,010400020204,62.688552314158521
711,010400020205,77.104457326147966
712,010400020206,79.845055916437573
713,010400020207,66.536542383797908
714,010400020301,72.003301611963494
715,010400020302,78.843829364349077
716,010400020303,73.233333989023748
717,010400020304,71.870272488713667
718,010400020305,70.241751347348497
719,010400020401,73.345650379749486
720,010400020402,77.982060626138804
721,010400020403,75.433839335669489
722,010400020404,67.580427267952459
723,010400020405,63.447783263271091
724,010400020406,67.254345632802696
725,010400020501,77.457720885540041
726,010400020502,70.843648390033636
727,010400020503,71.108673753213751
728,010400020504,67.840230391635387
729,010400020505,70.742331427921400
730,010400020601,70.412036791368180
731,010400020602,61.834366558686852
732,010400020603,73.044753881657073
733,010400020604,69.841167584087245
734,010400020605,60.446533672891910
735,010400020606,63.176031227714596
736,010400020701,71.740404199640565
737,010400020702,69.811685012701105
738,010400020703,65.468248702236451
739,010400020704,59.503335399876008
740,010400020801,68.640695124700287
741,010400020802,62.722578196512693
742,010400020803,46.562653459234213
743,010400020901,69.837895315794299
744,010400020902,66.392100642558276
745,010400020903,64.482340374211773
746,010400020904,62.516710950685983
747,010400020905,67.774733744394624
748,010400020906,65.132645637374637
749,010400020907,60.941117879170974
750,010400020908,57.803746896218975
751,010400020909,68.364710682721025
752,010400020910,56.896522249438661
753,010400021001,59.843140856107354
754,010400021002,53.408905876404397
755,010400021003,67.122423312497645
756,010400021004,65.306555000190770
757,010400021005,54.331784813829415
758,010400021006,65.002368912268793
759,010400021007,51.233333989410909
760,010500010101,72.316554379210785
761,010500010102,76.247924020673821
762,010500010207,74.408528391712210
763,010500010301,72.314676359253468
764,010500010302,74.425899390535150
765,010500010303,76.132579576551919
766,010500010304,76.823122618854157
